Wall time,Step,Value
1535362879.0411925,0,25.746335983276367
1535362940.5717614,1,23.1390438079834
1535363083.121782,4,19.711711883544922
1535363186.5843606,6,16.755022048950195
1535363307.3463285,9,14.010655403137207
1535363421.3487506,12,13.478477478027344
1535363545.6224074,14,11.589665412902832
1535363685.4343004,17,11.772334098815918
1535363784.2508974,19,9.675009727478027
1535363902.8933537,22,7.790975093841553
1535364019.9669888,25,7.110057830810547
1535364141.095424,28,9.318177223205566
1535364285.0108042,31,8.392903327941895
1535364386.8804624,33,7.196336269378662
1535364502.286768,36,8.08764362335205
1535364620.6351006,39,5.920614719390869
1535364745.6095042,42,9.317354202270508
1535364889.1250675,45,9.24160099029541
1535364984.1433752,47,9.354235649108887
1535365097.981584,50,7.261250972747803
1535365217.9258308,54,3.5007212162017822
1535365346.0342999,57,10.009293556213379
1535365477.4535098,59,11.108753204345703
1535365580.4183693,61,11.378273963928223
1535365702.1847398,65,6.473796844482422
1535365819.369043,68,6.477114200592041
1535365946.4722788,71,9.283550262451172
1535366085.6003957,74,8.091815948486328
1535366184.3226604,76,8.516495704650879
1535366298.7757149,79,6.5016770362854
1535366426.7688565,83,4.09994649887085
1535366537.1972535,86,9.627900123596191
1535366684.9627545,89,10.380195617675781
1535366786.757596,91,10.041645050048828
1535366897.3110306,94,9.7342529296875
1535367021.8200724,98,4.849486827850342
1535367144.2638707,101,7.1666131019592285
1535367283.220932,103,8.748583793640137
1535367380.2574196,105,8.96120834350586
1535367501.6032465,109,9.489084243774414
1535367619.8129716,112,4.637159824371338
1535367741.7268624,116,5.136062145233154
1535367877.7785935,118,10.066868782043457
1535367984.1095848,120,11.498077392578125
1535368100.9893174,124,9.776825904846191
1535368218.4241104,127,5.493894100189209
1535368341.0419893,131,6.354902744293213
1535368490.3005223,134,6.313190937042236
1535368586.5239651,136,8.025312423706055
1535368698.2725418,139,6.859228610992432
1535368821.157531,143,4.366636276245117
1535368944.4163966,146,5.318528652191162
1535369061.4578202,149,7.744147300720215
1535369184.187502,152,9.767007827758789
1535369305.8782036,155,7.454965114593506
1535369421.1637485,158,5.522726535797119
1535369545.5883188,161,6.691964626312256
1535369658.433708,164,6.335795879364014
1535369784.212636,168,9.477771759033203
1535369898.3011448,171,5.939108848571777
1535370031.8510153,174,3.104205846786499
1535370142.9883652,177,6.934311389923096
1535370261.0369024,180,7.364870548248291
1535370381.6326592,184,8.134937286376953
1535370502.7642212,187,6.576394557952881
1535370634.3551776,190,5.623047828674316
1535370742.4713435,193,6.602636814117432
1535370862.8067796,196,6.035304546356201
1535370986.9214034,199,5.330878734588623
